,precision,recall,f1-score,support
Motor ve Güç Aktarma,0.9474885844748858,0.969626168224299,0.9584295612009238,428.0
Fren Sistemi,0.9583333333333334,0.9426229508196722,0.9504132231404959,122.0
Elektrik ve Yazılım,0.8609625668449198,0.92,0.8895027624309392,175.0
Lastik ve Jant,0.8627450980392157,0.9166666666666666,0.8888888888888888,48.0
Güvenlik Ekipmanları,0.88,0.8148148148148148,0.8461538461538461,27.0
Direksiyon ve Süspansiyon,0.8666666666666667,0.7222222222222222,0.7878787878787878,36.0
Diğer / Genel,0.8220338983050848,0.6554054054054054,0.7293233082706767,148.0
Gövde ve Donanım,0.41935483870967744,0.8125,0.5531914893617021,16.0
